user_id,total_sessions,avg_session_length,add_to_cart_rate,purchase_rate,avg_spend,unique_categories,segment
user_1,35,30.96,0.27,0.35,139.43,6,1
user_10,41,30.41,0.0,0.0,0.0,6,4
user_100,36,27.42,0.34,0.0,0.0,6,3
user_101,38,29.79,0.26,0.32,151.04,6,1
user_102,39,22.6,0.3,0.25,153.86,6,2
user_103,36,28.6,0.0,0.0,0.0,6,0
user_104,40,27.05,0.0,0.0,0.0,6,4
user_105,37,31.37,0.0,0.0,0.0,6,0
user_106,37,30.34,0.0,0.0,0.0,6,0
user_107,40,26.4,0.0,0.0,0.0,6,4
user_108,36,30.16,0.31,0.28,153.18,6,1
user_109,39,32.36,0.0,0.0,0.0,6,0
user_11,37,24.29,0.0,0.0,0.0,6,4
user_110,39,28.19,0.2,0.26,149.4,6,2
user_111,39,23.51,0.37,0.31,168.77,6,2
user_112,35,31.91,0.36,0.31,173.23,6,1
user_113,38,25.9,0.34,0.32,162.32,6,2
user_114,35,31.33,0.4,0.34,147.37,6,1
user_115,41,26.76,0.26,0.21,168.63,6,2
user_116,36,34.31,0.0,0.0,0.0,6,0
user_117,38,28.69,0.0,0.0,0.0,6,0
user_118,36,31.17,0.22,0.22,160.89,6,1
user_119,40,27.08,0.34,0.0,0.0,6,3
user_12,39,28.65,0.0,0.0,0.0,6,4
user_120,38,25.52,0.0,0.0,0.0,6,4
user_121,39,27.41,0.3,0.31,161.86,6,2
user_122,42,25.32,0.0,0.0,0.0,6,4
user_123,39,25.12,0.0,0.0,0.0,6,4
user_124,38,29.03,0.26,0.25,159.9,6,2
user_125,37,32.09,0.28,0.0,0.0,6,3
user_126,37,29.85,0.25,0.2,146.09,6,1
user_127,39,30.18,0.25,0.0,0.0,6,3
user_128,42,26.49,0.26,0.23,160.29,6,2
user_129,40,29.32,0.35,0.36,143.13,6,2
user_13,39,24.25,0.38,0.26,144.4,6,2
user_130,39,28.03,0.0,0.0,0.0,6,4
user_131,37,28.74,0.0,0.0,0.0,6,0
user_132,43,24.63,0.36,0.0,0.0,6,4
user_133,39,29.41,0.0,0.0,0.0,6,4
user_134,32,32.72,0.22,0.24,156.34,6,1
user_135,39,26.0,0.0,0.0,0.0,6,4
user_136,36,34.64,0.0,0.0,0.0,6,0
user_137,38,31.87,0.34,0.0,0.0,6,3
user_138,38,31.44,0.32,0.34,169.81,6,1
user_139,35,34.16,0.38,0.0,0.0,6,3
user_14,36,32.59,0.0,0.0,0.0,6,0
user_140,40,24.95,0.23,0.25,142.1,6,2
user_141,36,31.51,0.34,0.3,160.98,6,1
user_142,40,28.38,0.23,0.27,144.95,6,2
user_143,37,34.35,0.0,0.0,0.0,6,0
user_144,38,29.72,0.0,0.0,0.0,6,0
user_145,38,31.76,0.34,0.33,140.43,6,1
user_146,36,29.08,0.37,0.31,144.44,6,1
user_147,44,21.84,0.37,0.0,0.0,6,4
user_148,38,27.84,0.0,0.0,0.0,6,4
user_149,41,22.6,0.0,0.0,0.0,6,4
user_15,37,30.23,0.29,0.35,160.55,6,1
user_150,35,35.04,0.26,0.4,147.1,6,1
user_151,37,28.49,0.0,0.0,0.0,6,0
user_152,39,28.04,0.0,0.0,0.0,6,4
user_153,39,27.35,0.27,0.22,149.96,6,2
user_154,40,26.86,0.39,0.0,0.0,6,3
user_155,37,31.81,0.31,0.0,0.0,6,3
user_156,41,22.39,0.0,0.0,0.0,6,4
user_157,36,28.2,0.0,0.0,0.0,6,0
user_158,37,31.03,0.21,0.24,157.05,6,1
user_159,35,32.19,0.27,0.28,140.58,6,1
user_16,39,27.25,0.0,0.0,0.0,6,4
user_160,39,31.72,0.0,0.0,0.0,6,0
user_161,37,32.28,0.36,0.35,156.82,6,1
user_162,34,30.31,0.23,0.28,151.23,6,1
user_163,36,30.52,0.25,0.22,154.1,6,1
user_164,36,28.13,0.33,0.31,147.11,6,1
user_165,36,29.06,0.0,0.0,0.0,6,0
user_166,39,31.05,0.28,0.4,159.23,6,1
user_167,37,30.0,0.0,0.0,0.0,6,0
user_168,38,30.25,0.0,0.0,0.0,6,0
user_169,37,28.4,0.38,0.29,129.99,6,1
user_17,38,28.77,0.37,0.33,157.55,6,2
user_170,38,27.08,0.0,0.0,0.0,6,4
user_171,36,31.07,0.36,0.33,145.36,6,1
user_172,36,31.82,0.0,0.0,0.0,6,0
user_173,34,32.32,0.27,0.25,168.01,6,1
user_174,41,25.18,0.0,0.0,0.0,6,4
user_175,37,34.62,0.35,0.33,167.22,6,1
user_176,38,32.79,0.36,0.0,0.0,6,3
user_177,39,26.25,0.22,0.26,145.57,6,2
user_178,38,31.51,0.25,0.31,160.2,6,1
user_179,39,26.58,0.25,0.23,157.65,6,2
user_18,38,25.81,0.0,0.0,0.0,6,4
user_180,37,29.21,0.0,0.0,0.0,6,0
user_181,36,32.56,0.34,0.19,145.29,6,1
user_182,37,28.41,0.28,0.29,174.2,6,1
user_183,38,30.16,0.0,0.0,0.0,6,0
user_184,35,27.03,0.38,0.0,0.0,6,3
user_185,35,34.09,0.0,0.0,0.0,6,0
user_186,41,26.37,0.0,0.0,0.0,6,4
user_187,38,27.96,0.36,0.0,0.0,6,3
user_188,35,34.78,0.32,0.0,0.0,6,3
user_189,37,27.77,0.35,0.0,0.0,6,3
user_19,39,28.45,0.0,0.0,0.0,6,4
user_190,40,27.6,0.0,0.0,0.0,6,4
user_191,38,30.99,0.21,0.3,152.92,6,1
user_192,40,27.89,0.28,0.0,0.0,6,3
user_193,36,33.93,0.33,0.36,158.42,6,1
user_194,39,31.17,0.0,0.0,0.0,6,0
user_195,36,28.56,0.22,0.22,154.6,6,1
user_196,37,29.35,0.27,0.3,160.49,6,1
user_197,36,30.57,0.0,0.0,0.0,6,0
user_198,42,25.55,0.32,0.41,146.52,6,2
user_199,39,27.81,0.26,0.39,162.48,6,2
user_2,37,29.62,0.34,0.38,161.35,6,1
user_20,38,27.08,0.0,0.0,0.0,6,4
user_200,41,22.77,0.23,0.21,144.13,6,2
user_201,37,28.61,0.0,0.0,0.0,6,0
user_202,38,31.59,0.22,0.33,161.81,6,1
user_203,37,29.42,0.0,0.0,0.0,6,0
user_204,39,27.44,0.0,0.0,0.0,6,4
user_205,37,29.91,0.0,0.0,0.0,6,0
user_206,36,30.03,0.29,0.0,0.0,6,3
user_207,43,23.88,0.32,0.37,161.65,6,2
