user_id,total_sessions,avg_session_length,add_to_cart_rate,purchase_rate,avg_spend,unique_categories,segment
user_1,130,28.22,0.11,0.14,278.65,6,3
user_10,123,33.84,0.1,0.12,242.92,6,3
user_100,124,33.63,0.11,0.11,254.06,6,3
user_1000,107,42.16,0.11,0.14,241.29,6,1
user_101,121,31.2,0.11,0.12,236.25,6,3
user_102,125,30.19,0.12,0.09,248.61,6,3
user_103,123,36.06,0.1,0.08,242.93,6,3
user_104,117,37.59,0.11,0.11,245.51,6,2
user_105,111,40.73,0.13,0.1,246.79,6,2
user_106,102,43.09,0.1,0.12,275.84,6,4
user_107,107,41.13,0.09,0.11,257.96,6,1
user_108,116,37.51,0.12,0.1,231.02,6,2
user_109,108,38.87,0.09,0.1,278.47,6,0
user_11,112,39.68,0.12,0.12,276.51,6,0
user_110,114,40.5,0.11,0.11,207.44,6,2
user_111,109,37.39,0.11,0.12,248.44,6,1
user_112,112,41.47,0.09,0.1,253.52,6,1
user_113,112,40.45,0.1,0.12,251.13,6,1
user_114,116,34.08,0.11,0.09,287.86,6,0
user_115,108,42.16,0.13,0.11,272.11,6,0
user_116,112,39.07,0.12,0.12,252.6,6,1
user_117,110,43.61,0.1,0.1,238.85,6,4
user_118,109,41.94,0.12,0.12,248.62,6,4
user_119,105,46.41,0.12,0.11,246.63,6,4
user_12,105,41.02,0.12,0.12,246.78,6,4
user_120,118,38.95,0.13,0.14,268.78,6,1
user_121,115,39.41,0.12,0.12,234.59,6,2
user_122,120,35.45,0.11,0.12,291.58,6,3
user_123,121,35.39,0.11,0.08,234.53,6,2
user_124,121,33.93,0.09,0.11,236.38,6,3
user_125,118,35.04,0.12,0.12,248.87,6,3
user_126,98,47.13,0.11,0.1,306.8,6,4
user_127,115,37.52,0.1,0.13,266.53,6,1
user_128,109,43.64,0.11,0.12,267.5,6,4
user_129,118,35.8,0.12,0.12,278.25,6,3
user_13,110,40.59,0.12,0.11,244.83,6,2
user_130,122,31.41,0.12,0.1,243.62,6,3
user_131,109,42.97,0.11,0.11,264.7,6,4
user_132,110,41.02,0.1,0.1,246.65,6,2
user_133,108,44.13,0.08,0.13,223.6,6,1
user_134,110,39.0,0.1,0.14,277.44,6,1
user_135,117,34.34,0.11,0.09,235.13,6,2
user_136,111,38.44,0.1,0.11,260.0,6,1
user_137,112,39.16,0.08,0.12,233.27,6,1
user_138,116,34.76,0.11,0.11,261.88,6,3
user_139,105,45.46,0.11,0.1,258.63,6,4
user_14,122,34.58,0.11,0.11,252.83,6,3
user_140,114,38.79,0.09,0.12,251.15,6,1
user_141,108,45.56,0.12,0.11,247.4,6,4
user_142,112,41.06,0.11,0.12,251.17,6,1
user_143,101,49.59,0.12,0.1,255.18,6,4
user_144,120,33.15,0.13,0.12,243.13,6,3
user_145,127,32.75,0.12,0.11,281.95,6,3
user_146,122,35.32,0.11,0.11,251.45,6,3
user_147,116,38.44,0.12,0.12,247.19,6,2
user_148,107,44.75,0.11,0.11,253.37,6,4
user_149,122,33.65,0.09,0.1,221.37,6,3
user_15,106,44.87,0.1,0.1,262.26,6,4
user_150,117,38.16,0.09,0.13,260.81,6,1
user_151,110,41.66,0.12,0.1,283.23,6,0
user_152,113,39.04,0.1,0.12,221.92,6,1
user_153,121,33.16,0.09,0.11,223.66,6,3
user_154,122,35.69,0.12,0.1,249.69,6,3
user_155,117,36.41,0.14,0.11,273.82,6,0
user_156,112,37.18,0.12,0.1,262.37,6,0
user_157,108,44.48,0.12,0.11,255.39,6,4
user_158,116,34.38,0.1,0.12,243.07,6,1
user_159,119,34.58,0.08,0.1,236.45,6,3
user_16,108,42.57,0.11,0.14,248.41,6,1
user_160,108,42.18,0.12,0.11,245.07,6,4
user_161,114,37.62,0.1,0.13,255.0,6,1
user_162,114,41.82,0.12,0.13,249.92,6,1
user_163,112,42.91,0.12,0.12,284.83,6,0
user_164,122,34.1,0.13,0.11,242.71,6,3
user_165,108,40.39,0.11,0.1,269.31,6,0
user_166,113,36.93,0.07,0.11,261.89,6,1
user_167,107,42.13,0.13,0.1,232.68,6,2
user_168,113,38.83,0.12,0.09,267.35,6,0
user_169,116,36.79,0.09,0.11,253.95,6,1
user_17,122,34.25,0.1,0.09,272.04,6,3
user_170,98,50.0,0.11,0.12,258.97,6,4
user_171,110,44.01,0.12,0.11,218.13,6,2
user_172,120,36.22,0.1,0.11,257.26,6,3
user_173,120,33.89,0.13,0.14,254.62,6,3
user_174,110,40.85,0.11,0.12,257.69,6,1
user_175,120,36.94,0.11,0.11,276.46,6,3
user_176,107,40.84,0.12,0.1,249.51,6,0
user_177,111,39.45,0.14,0.1,265.2,6,0
user_178,105,43.05,0.09,0.13,243.64,6,1
user_179,116,38.78,0.09,0.09,256.77,6,2
user_18,110,40.26,0.11,0.12,264.13,6,1
user_180,113,39.34,0.11,0.11,254.56,6,0
user_181,116,34.34,0.12,0.11,219.3,6,2
user_182,112,39.49,0.11,0.08,251.83,6,2
user_183,115,37.27,0.12,0.1,281.55,6,0
user_184,106,45.23,0.11,0.09,256.63,6,4
user_185,110,46.14,0.12,0.12,251.19,6,4
user_186,112,41.76,0.14,0.11,221.39,6,2
user_187,117,36.14,0.11,0.1,244.07,6,2
user_188,116,35.8,0.11,0.12,238.78,6,1
user_189,104,46.66,0.11,0.1,284.59,6,4
user_19,114,35.1,0.12,0.08,254.56,6,0
user_190,115,38.07,0.1,0.1,255.22,6,2
user_191,115,37.08,0.13,0.11,258.2,6,0
user_192,113,39.89,0.1,0.13,260.5,6,1
user_193,109,42.18,0.1,0.12,267.06,6,1
user_194,110,38.78,0.12,0.1,296.87,6,0
user_195,116,38.15,0.1,0.11,240.43,6,2
user_196,117,38.0,0.09,0.09,237.18,6,2
user_197,112,41.68,0.12,0.14,238.85,6,1
user_198,107,41.43,0.1,0.1,212.32,6,2
user_199,113,40.1,0.12,0.11,258.72,6,0
user_2,118,34.98,0.11,0.11,254.57,6,3
user_20,118,35.19,0.11,0.12,256.23,6,3
user_200,96,52.04,0.14,0.1,227.84,6,4
user_201,116,35.24,0.11,0.11,249.58,6,3
user_202,123,31.88,0.1,0.12,278.89,6,3
user_203,105,43.7,0.14,0.1,256.34,6,0
user_204,106,42.41,0.14,0.1,281.58,6,0
user_205,106,41.85,0.11,0.11,241.16,6,4
user_206,117,38.61,0.11,0.1,226.93,6,2
user_207,117,34.75,0.11,0.12,234.86,6,3
user_208,113,39.56,0.08,0.11,294.44,6,1
user_209,109,41.32,0.12,0.11,295.46,6,0
user_21,118,34.92,0.11,0.09,247.24,6,2
user_210,109,40.53,0.12,0.11,262.41,6,0
user_211,106,41.25,0.11,0.11,262.58,6,4
user_212,115,41.88,0.1,0.12,241.24,6,1
user_213,107,42.37,0.08,0.12,248.79,6,1
user_214,109,43.69,0.11,0.11,235.43,6,4
user_215,115,35.9,0.1,0.09,233.92,6,2
user_216,117,37.42,0.11,0.1,221.62,6,2
user_217,119,33.4,0.1,0.11,256.42,6,3
user_218,110,43.44,0.1,0.13,238.59,6,1
user_219,112,40.4,0.1,0.11,242.91,6,1
user_22,115,34.46,0.11,0.11,235.96,6,2
user_220,120,32.17,0.1,0.1,262.05,6,3
user_221,108,40.87,0.1,0.13,249.21,6,1
user_222,108,45.94,0.12,0.1,234.03,6,4
user_223,113,38.45,0.09,0.11,206.51,6,2
user_224,114,39.1,0.12,0.12,258.77,6,0
user_225,115,35.56,0.09,0.1,253.76,6,3
user_226,116,37.66,0.11,0.11,256.52,6,3
user_227,122,33.38,0.11,0.14,259.35,6,3
user_228,120,35.73,0.12,0.09,263.96,6,0
user_229,119,34.38,0.11,0.09,244.97,6,3
user_23,114,40.17,0.11,0.12,254.04,6,1
user_230,100,50.52,0.12,0.11,252.86,6,4
